Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link
Q1000116,Axiom of countable choice,,,,,,,,,,,countable choice,https://ncatlab.org/nlab/show/countable+choice
Q1000120,Maximal torus,,,,,,,,,,,maximal torus,https://ncatlab.org/nlab/show/maximal+torus
Q1000660,Algebra over a field,,,algebra over a field,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,,,homomorphism of algebras,https://emilyriehl.github.io/files/context.pdf#page=180,,,,
Q1002250,Duncan Haldane,,,,,,,,,,,Duncan Haldane,https://ncatlab.org/nlab/show/Duncan+Haldane
Q1003136,Forcing (mathematics),,,,,,,,,,,forcing,https://ncatlab.org/nlab/show/forcing
Q1003162,Simple Lie group,,,,,,,,,,,simple Lie group,https://ncatlab.org/nlab/show/simple+Lie+group
Q1006450,Semisimple group,,,,,,,,,,,split reductive group,https://ncatlab.org/nlab/show/split+reductive+group
Q100906749,Nicholas Meadows (cricketer),,,,,,,,,,,Nicholas Meadows,https://ncatlab.org/nlab/show/Nicholas+Meadows
Q1010269,Burali-Forti paradox,,,,,,,,,,,Burali-Forti's paradox,https://ncatlab.org/nlab/show/Burali-Forti%27s+paradox
Q101072,DefinitioN,,,,,,,,,,,definition,https://ncatlab.org/nlab/show/definition
Q1012612,Iwahori–Hecke algebra,,,,,,,,,,,Iwahori–Hecke algebra,https://ncatlab.org/nlab/show/Iwahori%E2%80%93Hecke+algebra
Q101316000,Gail Letzter,,,,,,,,,,,Gail Letzter,https://ncatlab.org/nlab/show/Gail+Letzter
Q1014065,Hadamard transform,,,,,,,,,,,Hadamard gate,https://ncatlab.org/nlab/show/Hadamard+gate
Q101423786,Valentin Goranko,,,,,,,,,,,Valentin Goranko,https://ncatlab.org/nlab/show/Valentin+Goranko
Q101427929,Netta Engelhardt,,,,,,,,,,,Netta Engelhardt,https://ncatlab.org/nlab/show/Netta+Engelhardt
Q1014491,Prime knot,,,,,,,,,,,prime knot,https://ncatlab.org/nlab/show/prime+knot
Q1014612,Parallelizable,,,,,,,,,,,framed manifold,https://ncatlab.org/nlab/show/framed+manifold
Q1014869,Mapping cylinder,,,,,,,,,,,mapping telescope,https://ncatlab.org/nlab/show/mapping+telescope
Q101530825,Andrew Neitzke,,,,,,,,,,,Andrew Neitzke,https://ncatlab.org/nlab/show/Andrew+Neitzke
Q101667,Hadron,,,,,,,,,,,hadron,https://ncatlab.org/nlab/show/hadron
Q10167591,Initial value problem,,,,,,,,,,,initial value problem,https://ncatlab.org/nlab/show/initial+value+problem
Q1017106,Adjoint representation,,,adjoint representation of a Lie group,https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_group,,,,,,,adjoint representation,https://ncatlab.org/nlab/show/adjoint+representation
